image_id,iou,iou_inv,iou_inv_robust,used_inversion,pred_fg_ratio,gt_fg_ratio,agg_iou,agg_iou_inv,agg_iou_inv_robust,agg_used_inversion,agg_num_segments
rwtd_185,0.0025396591703770693,0.0040164805265466,0.0040164805265466,1,0.00341796875,0.412200927734375,0.9931228277745348,0.9951908160096714,0.9951908160096714,1,3
rwtd_186,0.0,0.004432021354283592,0.004432021354283592,1,0.002685546875,0.3940582275390625,0.7764815538648858,0.8127974616602924,0.8127974616602924,1,2
rwtd_188,0.02341147439851221,0.0,0.02341147439851221,0,0.0115814208984375,0.49468994140625,0.5005558300394485,0.511230838106039,0.511230838106039,1,3
rwtd_189,0.0,0.00598500496039716,0.00598500496039716,1,0.005615234375,0.0617828369140625,0.7620929794828495,0.979442809048908,0.979442809048908,1,3
rwtd_194,0.02057385636130236,0.03291469481858,0.03291469481858,1,0.02734375,0.5077972412109375,0.9757822803018297,0.9755003032137735,0.9757822803018297,0,1
rwtd_197,0.004098178092564458,0.2262068452933122,0.2262068452933122,1,0.0956878662109375,0.5922088623046875,0.8191978961207994,0.683203270159538,0.8191978961207994,0,1
rwtd_2,0.017590583284008157,0.025152418186285056,0.025152418186285056,1,0.0222015380859375,0.450042724609375,0.9049592212572661,0.923983376295196,0.923983376295196,1,3
rwtd_200,4.789960243327686e-05,0.019538968166845326,0.019538968166845326,1,0.0135955810546875,0.3049774169921875,0.317028266700475,0.6950225830077065,0.6950225830077065,1,3
rwtd_201,0.3435044331760687,0.0,0.3435044331760687,0,0.1767578125,0.5145721435546875,0.9876842198526279,0.9870069171804738,0.9876842198526279,0,2
rwtd_202,0.00024658885418368955,0.08679947703146967,0.08679947703146967,1,0.0598602294921875,0.3115081787109375,0.6589608531666474,0.7682961850271117,0.7682961850271117,1,3
rwtd_205,0.04009062873684936,0.05691056910567574,0.05691056910567574,1,0.05169677734375,0.45263671875,0.9564397129666959,0.9651914068806965,0.9651914068806965,1,3
