image_id,v9_iou,v9_ari,used_v8,cov7,prec7,areaU7,cov8,prec8,areaU8
293,0.9858045798260718,0.9888645257101757,0,1.0,0.9997910790765695,1.0002089645805037,1.0,0.9997910790765695,1.0002089645805037
294,0.9875930521057296,0.9784430017213144,0,1.0,0.981928776037062,1.0184038032125622,1.0,0.981928776037062,1.0184038032125622
299,0.8227674190359658,0.6513987881358431,0,1.0,0.9520902378045235,1.0503206106870229,0.09251908396946565,0.9815354713313897,0.09425954198473283
300,0.9957343707309727,0.9923840224967222,0,0.4547571523619428,0.9831501078804069,0.4625510882995913,0.4547571523619428,0.9831501078804069,0.4625510882995913
302,0.9860800650240937,0.9750684634235883,0,0.4567142541993634,0.9951246309139601,0.4589518136837793,1.0,0.9716893019552603,1.02913554568088
303,0.9752610854264028,0.964763022030058,0,0.35608150470219435,0.9965346317497916,0.35731974921630094,1.0,0.973718750953878,1.0269905956112853
304,0.7168579101551562,-0.0006090239710809179,0,1.0,0.9701082393172832,1.0308128098198128,1.0,0.9701082393172832,1.0308128098198128
308,0.12132248335491697,-0.0907994927830405,0,0.09968597690621832,0.9529393370856786,0.10460894311602499,0.09968597690621832,0.9529393370856786,0.10460894311602499
310,0.9771572327027637,0.8627202648046833,1,0.08758543951676999,0.997465604634323,0.08780797965347321,0.9124781433794309,0.9802260851746867,0.9308853918295978
311,0.9855392074324341,0.9124594089121637,1,0.09150990563089807,0.9981254260395365,0.09168176988938191,0.9085213424160989,0.9827446341051208,0.9244734704080995
315,0.996522727651008,0.9766853132233686,1,0.0857102864785841,0.999455930359086,0.08575694422843634,0.9143052661047,0.9848390933610306,0.9283803539767955
318,0.9890456594140916,0.9627979400684947,0,0.7851577932647482,0.9783396345305608,0.802541127388233,1.0,0.9677463754817398,1.033328592424027
319,0.42695768715180943,0.12690397126345093,0,0.2476483040730896,0.9945666070058808,0.24900122558772503,0.5568147452528371,0.9726686314852917,0.5724608846515034
321,0.5149569683491291,0.3258426603890733,0,0.5223073617874534,0.9792561761546724,0.5333715267831567,0.5223073617874534,0.9792561761546724,0.5333715267831567
322,0.9595846270228309,0.9076492450154185,0,1.0,0.9360140806932034,1.068359996528481,1.0,0.9360140806932034,1.068359996528481
323,0.9143076923048791,0.8372371219679273,0,1.0,0.9796862364547954,1.0207349687984943,1.0,0.9796862364547954,1.0207349687984943
324,0.9608320353032164,0.927683812221141,0,0.46620714204812064,0.9702653556034483,0.4804944743782664,1.0,0.9693827935063917,1.0315842273028817
325,0.9234277859323208,0.855994224115847,0,1.0,0.9571356371217385,1.0447840005280353,1.0,0.9571356371217385,1.0447840005280353
327,0.9587854722179893,0.9278447432603506,0,0.44207148389952416,0.9982865098347196,0.4428302692107052,0.9801609257180797,0.9647124719940254,1.0160135316713828
328,0.9430931619969832,0.9179065051063638,0,0.38414489913155137,0.9937497268237249,0.3865610110499105,0.38414489913155137,0.9937497268237249,0.3865610110499105
329,0.9092762487231417,0.8189091291339031,0,1.0,0.984469287937496,1.01577572023099,0.7433299996773881,0.9961091176343435,0.746233506468368
330,0.5986421725215709,0.47154106055623246,0,0.23630667923985488,0.9621892489912794,0.24559272459922962,1.0,0.9636514855145009,1.03771956462672
331,0.8647168753487858,0.5779901389680571,0,1.0,0.9611461146114612,1.0404245356641173,0.04286327454346808,0.9900856241550248,0.043292492586233806
332,0.9046517392344681,0.8630609849054163,0,0.34654554147740857,0.992650079890436,0.34911148298669215,0.06797354370866204,0.9983614232209738,0.06808510638297872
334,0.9475530246721648,0.9234584899693539,0,0.3610695221976305,0.9405256464603645,0.38390183569847675,1.0,0.9439451894864587,1.0593835438094
337,0.9931624902911279,0.9746789672107519,0,0.8069535542649614,0.9815678732600872,0.8221067297005369,0.7893896463737261,0.9880091694586493,0.7989699597689454
342,0.9570143398236032,0.9239140916688924,0,0.871995043370508,0.9934705114177814,0.87772614622057,0.12800495662949193,0.9453214367421643,0.1354089219330855
343,0.9846584658446151,0.9502625318783986,0,0.7669668907776227,0.9794662022599327,0.7830457947481924,0.7731035138906508,0.9791340322127164,0.7895788405429405
344,0.9874401788865699,0.9620836162916739,0,0.7431333386594232,0.9801892558325781,0.7581529120396261,0.7431333386594232,0.9801892558325781,0.7581529120396261
345,0.8220244716317635,0.7509898063046844,0,0.3644515763639796,0.9945904173106646,0.3664338304700774,1.0,0.96990966796875,1.031023849977975
346,0.9301677194470478,0.9034903955543115,0,0.3625729083274789,0.9952462104224594,0.364304736386361,1.0,0.9496229869364198,1.0530494878036827
347,0.9704900067813743,0.9321235639450713,0,1.0,0.9611158752277843,1.0404572703192527,1.0,0.9611158752277843,1.0404572703192527
