image_id,iou,ari,used_inversion,used_v6_rescue
rwtd_319,0.42695768715180943,0.12690397126345093,0,0
rwtd_321,0.5149569683491291,0.3258426603890733,0,0
rwtd_322,0.9595846270228309,0.9076492450154185,0,0
rwtd_323,0.9143076923048791,0.8372371219679273,0,0
rwtd_324,0.9608320353032164,0.927683812221141,0,0
rwtd_325,0.9234277859323208,0.855994224115847,0,0
rwtd_327,0.9587854722179893,0.9278447432603506,0,0
rwtd_328,0.9430931619969832,0.9179065051063638,0,0
rwtd_329,0.9092762487231417,0.8189091291339031,0,0
rwtd_330,0.5986421725215709,0.47154106055623246,0,0
rwtd_331,0.8647168753487858,0.5779901389680571,0,1
rwtd_332,0.9046517392344681,0.8630609849054163,0,0
rwtd_334,0.9475530246721648,0.9234584899693539,0,0
rwtd_337,0.9931624902911279,0.9746789672107519,0,0
rwtd_342,0.9570143398236032,0.9239140916688924,0,0
rwtd_343,0.9846584658446151,0.9502625318783986,0,0
rwtd_344,0.9874401788865699,0.9620836162916739,0,0
rwtd_345,0.8220244716317635,0.7509898063046844,0,0
rwtd_346,0.9301677194470478,0.9034903955543115,0,0
rwtd_347,0.9704900067813743,0.9321235639450713,0,0
rwtd_348,0.9008110848208808,0.889310235777387,0,0
rwtd_349,0.9187794139926179,0.9013437857955646,0,0
rwtd_350,0.8523058319086885,0.8335843931505627,0,0
rwtd_351,0.983656286754833,0.9680325822827865,0,0
rwtd_352,0.9536526153147937,0.8560448966704362,0,0
rwtd_357,0.9764521792192334,0.9626229267778154,0,0
rwtd_358,0.5547941640779369,0.046690261076309504,0,0
rwtd_359,0.9336730610150912,0.8540062361912851,0,0
rwtd_362,0.5207905787255378,0.00537394799504516,0,0
rwtd_363,0.9383732654704509,0.8490447842132451,0,0
rwtd_364,0.9791702642009602,0.9404573772436566,0,0
rwtd_365,0.563889712420982,0.13218758768041525,0,1
rwtd_366,0.9174618187862201,0.8271040056417368,0,0
rwtd_367,0.9197711254612613,0.8103072347112382,0,0
rwtd_371,0.961755044577502,0.9124240733328056,0,0
rwtd_373,0.8955253431831076,0.895329649796684,0,0
rwtd_374,0.8964059196597998,0.724984276007654,0,0
rwtd_376,0.8828185769806323,0.846924324893578,0,0
rwtd_377,0.5257758952629561,0.0015844685728217825,0,0
rwtd_378,0.9806806550647378,0.922362057994541,0,0
rwtd_380,0.9442948850674171,0.8369421220738964,0,0
rwtd_382,0.9360930714352442,0.8032980033451299,0,0
rwtd_383,0.9677453173016224,0.944435580888509,0,0
rwtd_387,0.26372555389342,0.2702859526831446,0,0
rwtd_388,0.6536781852844873,0.5537686133678955,0,0
rwtd_389,0.9629451560803498,0.9352093393055138,0,0
rwtd_391,0.8839204743572799,0.8876356829298239,0,0
rwtd_392,0.9353991596611362,0.8694312009745162,0,0
rwtd_393,0.9695954435004205,0.9558985109544612,0,0
rwtd_394,0.9754249215077931,0.9588361499859291,0,0
rwtd_395,0.9754008967121404,0.9630213739797009,0,0
rwtd_397,0.7555948295333931,0.4037414114200559,0,0
rwtd_398,0.7716579686810786,0.7944959276639542,0,0
rwtd_399,0.6428117833821788,0.1257359499792453,0,0
rwtd_400,0.9283332175330774,0.8779845052217989,0,0
rwtd_403,0.974016332581904,0.9785111594378201,0,0
rwtd_408,0.9630592336596341,0.9276274688805661,0,0
rwtd_410,0.9727905859726879,0.9317627660087859,0,0
rwtd_411,0.9489786177885214,0.9344985587885386,0,0
rwtd_412,0.8971019593987029,0.8885079994188188,0,0
rwtd_413,0.9350300813939629,0.870057310056338,0,0
rwtd_414,0.9395642466666426,0.9062069205346268,0,0
rwtd_416,0.2328857674024669,0.14698126311822993,0,0
rwtd_417,0.9549462365565727,0.9003066973066218,0,0
rwtd_418,0.9012413576296257,0.9106184721299797,0,0
rwtd_422,0.9904738491764782,0.9811683141596826,0,0
rwtd_423,0.9709819462748965,0.9597763972630451,0,0
rwtd_424,0.9676902207399983,0.9214688063341882,0,0
rwtd_425,0.9285054575947586,0.8979503114186875,0,0
rwtd_426,0.9250658472303552,0.8973101765977578,0,0
rwtd_428,0.9637099778907481,0.9126597727305312,0,0
rwtd_429,0.6091440911498458,0.04777674222592012,0,1
rwtd_431,0.46426351771064556,0.39372297078876345,0,0
rwtd_432,0.9375204163833325,0.8298557386243312,0,0
rwtd_434,0.9656302262842908,0.9394682988063618,0,0
rwtd_436,0.9919079259587282,0.9791654957382511,0,0
rwtd_437,0.9704777524947331,0.9650178415033689,0,0
rwtd_440,0.9679374173538129,0.9754392157793723,0,0
rwtd_441,0.9758461839443362,0.8941666086115403,0,0
rwtd_442,0.8924844802477051,0.8923467635022158,0,0
rwtd_443,0.7095028687245173,0.19932152451482596,0,0
rwtd_444,0.9568985574630241,0.9526285425254761,0,0
rwtd_447,0.9617520185798877,0.895647476547029,0,0
rwtd_448,0.9551861858306261,0.909027706530536,0,0
rwtd_449,0.9414272366242075,0.8813092827968712,0,0
rwtd_450,0.9415594441560948,0.8661275394273464,0,0
rwtd_451,0.935309020203056,0.9297686160105079,0,0
rwtd_452,0.9628594450295541,0.9118872670278467,0,0
rwtd_453,0.5094243857411248,0.11341673753727415,0,0
rwtd_455,0.9583016453025203,0.8462094098858822,0,0
rwtd_456,0.867874502868807,0.8079682414411841,0,0
rwtd_457,0.9148233134423367,0.8879970600255876,0,0
rwtd_461,0.9221354500040401,0.8229381270057093,0,0
rwtd_463,0.2161088683408249,0.2188809574987679,0,0
rwtd_464,0.09132466736447806,-0.023514310575072302,0,0
rwtd_465,0.9107240437096261,0.9123840470565893,0,0
rwtd_466,0.85776369397141,0.879609833122423,0,0
rwtd_467,0.8971881872412143,0.8458575949836127,0,0
rwtd_468,0.9444575990226145,0.9022693575947467,0,0
rwtd_469,0.8753214507365641,0.8331700298742168,0,0
rwtd_471,0.5724026779048995,0.45576525843692706,0,0
rwtd_472,0.26015032658200626,0.094427716080054,0,0
rwtd_473,0.6956661729622277,0.6937104660560092,0,0
rwtd_474,0.8042982516702073,0.8099842411807466,0,0
rwtd_475,0.9327097451538305,0.8348067705789143,0,0
rwtd_476,0.9553059661639818,0.8851503894140824,0,0
rwtd_478,0.9042413412471527,0.8874184532953514,0,0
rwtd_479,0.3828821393183275,0.26916319709143754,0,1
rwtd_485,0.9196864111466213,0.8641809625122701,0,0
rwtd_492,0.9763815238592786,0.9590916701601979,0,0
