image_id,iou,iou_inv,iou_inv_robust,used_inversion,pred_fg_ratio,gt_fg_ratio,agg_iou,agg_iou_inv,agg_iou_inv_robust,agg_used_inversion,agg_num_segments
rwtd_175,0.4880360778474818,0.35661624410416914,0.4880360778474818,0,0.6966552734375,0.34051513671875,0.7542960871316037,0.8699532420947392,0.8699532420947392,1,3
rwtd_176,0.1811302814808587,0.6057451037897797,0.6057451037897797,1,0.7068023681640625,0.203033447265625,0.22667329454070978,0.7969665527342534,0.7969665527342534,1,4
rwtd_178,0.4229171602305263,0.5501396214705941,0.5501396214705941,1,0.9496917724609375,0.4250030517578125,0.9461141361993685,0.9606993656194336,0.9606993656194336,1,2
rwtd_18,0.26859284931211436,0.6253738976798002,0.6253738976798002,1,0.8474884033203125,0.2472381591796875,0.6172317578419645,0.8222475263073618,0.8222475263073618,1,3
rwtd_180,0.5823720736733515,0.33326684057076367,0.5823720736733515,0,0.80133056640625,0.4755096435546875,0.5823720736733515,0.5244903564452325,0.5823720736733515,0,1
rwtd_181,0.58046845197214,0.0,0.58046845197214,0,0.5804595947265625,0.9999847412109375,0.999984741210785,3.637024913619336e-05,0.999984741210785,0,3
rwtd_182,0.00029282125574079266,0.9788699030349708,0.9788699030349708,1,0.4731903076171875,0.517181396484375,0.9806333950900358,0.9788699030349708,0.9806333950900358,0,1
rwtd_183,0.0,0.0,0.0,0,0.0,0.5508575439453125,0.5508575439452285,0.449142456054619,0.5508575439452285,0,1
rwtd_184,0.9795376516363806,0.0,0.9795376516363806,0,0.979522705078125,0.9999847412109375,0.999984741210785,0.0009372071227653497,0.999984741210785,0,3
rwtd_185,0.0023510014655589964,0.9951908160096714,0.9951908160096714,1,0.58966064453125,0.412200927734375,0.9931228277745348,0.9951908160096714,0.9951908160096714,1,3
rwtd_186,0.7723941976967932,0.11611938476560729,0.7723941976967932,0,0.5101776123046875,0.3940582275390625,0.7764815538648858,0.8127974616602924,0.8127974616602924,1,2
rwtd_188,0.48715976058215954,0.5028173580127974,0.5028173580127974,1,0.9801025390625,0.49468994140625,0.5005558300394485,0.511230838106039,0.511230838106039,1,3
rwtd_189,0.5716504306076922,0.046295166015617936,0.5716504306076922,0,0.1080780029296875,0.0617828369140625,0.7620929794828495,0.979442809048908,0.979442809048908,1,3
rwtd_194,0.965572295276796,0.017857142857140133,0.965572295276796,0,0.5254058837890625,0.5077972412109375,0.9757822803018297,0.9755003032137735,0.9757822803018297,0,1
rwtd_197,0.6037178190867849,0.38870832379638537,0.6037178190867849,0,0.98089599609375,0.5922088623046875,0.8191978961207994,0.683203270159538,0.8191978961207994,0,1
rwtd_2,0.8869392013655547,0.03330993057180228,0.8869392013655547,0,0.46063232421875,0.450042724609375,0.9049592212572661,0.923983376295196,0.923983376295196,1,3
rwtd_200,0.0005329543435776635,0.05550800026337098,0.05550800026337098,1,0.0387725830078125,0.3049774169921875,0.317028266700475,0.6950225830077065,0.6950225830077065,1,3
rwtd_201,0.18142201834859611,0.7252392508812846,0.7252392508812846,1,0.664398193359375,0.5145721435546875,0.9876842198526279,0.9870069171804738,0.9876842198526279,0,2
rwtd_202,0.38269067596862777,0.4986471406514364,0.4986471406514364,1,0.80743408203125,0.3115081787109375,0.6589608531666474,0.7682961850271117,0.7682961850271117,1,3
rwtd_205,0.4542308516827774,0.5438537597655421,0.5438537597655421,1,0.996490478515625,0.45263671875,0.9564397129666959,0.9651914068806965,0.9651914068806965,1,3
rwtd_207,0.9443403956452815,0.0,0.9443403956452815,0,0.492401123046875,0.52142333984375,0.9443403956452815,0.9428245055008289,0.9443403956452815,0,2
rwtd_210,0.6047943518593292,0.29120593010073037,0.6047943518593292,0,0.739776611328125,0.453338623046875,0.6047943518593292,0.5466613769530416,0.6047943518593292,0,1
rwtd_213,0.01392306399107244,0.9734365195563237,0.9734365195563237,1,0.5820159912109375,0.4302825927734375,0.9955483323908297,0.9966272284380865,0.9966272284380865,1,1
rwtd_214,0.9914575906366477,0.001376736217340547,0.9914575906366477,0,0.451202392578125,0.45233154296875,0.9914575906366477,0.9929554027066251,0.9929554027066251,1,1
rwtd_215,0.9925572656980299,0.002245063151946142,0.9925572656980299,0,0.4214324951171875,0.4200897216796875,0.9925572656980299,0.9945880622107518,0.9945880622107518,1,1
rwtd_216,0.5075179777728563,0.46406096828250576,0.5075179777728563,0,0.94537353515625,0.532470703125,0.5324707031249187,0.4893474302870781,0.5324707031249187,0,3
rwtd_219,0.40202331542962616,0.5721222554240983,0.5721222554240983,1,0.9395751953125,0.4624481201171875,0.46244812011711695,0.5721222554240983,0.5721222554240983,1,1
rwtd_22,0.41662364481149705,0.5249138809372786,0.5249138809372786,1,0.8892974853515625,0.4505462646484375,0.4671550169286987,0.562596024776323,0.562596024776323,1,3
rwtd_221,7.648066568770246e-05,0.994761904761589,0.994761904761589,1,0.47821044921875,0.5194244384765625,0.9951755796611225,0.994761904761589,0.9951755796611225,0,1
rwtd_222,0.007788402220850125,0.9760135809864239,0.9760135809864239,1,0.753387451171875,0.2436981201171875,0.9571729174396848,0.986179348911327,0.986179348911327,1,3
rwtd_224,0.9934539615880339,0.0006883997001635809,0.9934539615880339,0,0.4916229248046875,0.4934844970703125,0.9934539615880339,0.9936454648998881,0.9936454648998881,1,1
rwtd_228,0.9939428239287527,0.005996978621456976,0.9939428239287527,0,0.997528076171875,0.9915771484375,0.9939428239287527,0.2864864864813246,0.9939428239287527,0,3
rwtd_229,0.0004122892743708142,0.9980321675016405,0.9980321675016405,1,0.5808258056640625,0.418853759765625,0.9972725289108308,0.9980321675016405,0.9980321675016405,1,1
rwtd_236,0.5410049830018254,0.45117187499993117,0.5410049830018254,0,0.9829559326171875,0.5317840576171875,0.5471487784964286,0.46821594238274106,0.5471487784964286,0,1
rwtd_237,0.0015469917902215496,0.9889947023205761,0.9889947023205761,1,0.4801025390625,0.5176544189453125,0.9897872589468324,0.9889947023205761,0.9897872589468324,0,1
rwtd_238,0.4055938720702506,0.5754851074022878,0.5754851074022878,1,0.9554290771484375,0.450164794921875,0.45532696433249653,0.5754851074022878,0.5754851074022878,1,2
rwtd_24,0.327324441711063,0.23579292350766265,0.327324441711063,0,0.3560943603515625,0.17083740234375,0.5089344804761994,0.8570001927219622,0.8570001927219622,1,3
