image_id,iou,iou_inv,iou_inv_robust,used_inversion,dice,dice_inv,dice_inv_robust,boundary_precision,boundary_recall,boundary_f1,ari,pred_fg_ratio,gt_fg_ratio,oracle_agg_iou,oracle_agg_iou_inv,oracle_agg_iou_inv_robust,oracle_agg_used_inversion,oracle_agg_num_segments,agg_iou,agg_iou_inv,agg_iou_inv_robust,agg_used_inversion,agg_num_segments
rwtd_319,0.0024862601413234474,0.042592137256497395,0.042592137256497395,1,0.004960187965016003,0.08170431319111114,0.08170431319111114,0.14318181817856404,0.1365384615358358,0.1397812449998938,-0.007141081811997956,0.0249481201171875,0.4426422119140625,0.7844090254959993,0.783338336016377,0.7844090254959993,0,1,0.7844090254959993,0.783338336016377,0.7844090254959993,0,1
rwtd_321,0.8052003049036434,0.10202456430516983,0.8052003049036434,0,0.8920897062961916,0.18515842134516605,0.8920897062961916,0.09981684981593575,0.18250950569995228,0.12905294117426386,0.6231614181881667,0.5368499755859375,0.4388275146484375,0.8052003049036434,0.8135890855056562,0.8135890855056562,1,1,0.8052003049036434,0.8135890855056562,0.8135890855056562,1,1
rwtd_322,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5825042724609375,0.5825042724608487,0.41749572753899883,0.5825042724608487,0,1,0.5825042724608487,0.41749572753899883,0.5825042724608487,0,1
rwtd_323,0.20126442781735362,0.006433054393303757,0.20126442781735362,0,0.33508763459023344,0.01278386945902074,0.33508763459023344,0.21023765995959345,0.12988650693404935,0.16057097456308722,0.02423599877626373,0.109649658203125,0.52239990234375,0.5223999023436703,0.5299679158986057,0.5299679158986057,1,1,0.5223999023436703,0.5299679158986057,0.5299679158986057,1,1
rwtd_324,0.8059410372831086,0.009081517029925835,0.8059410372831086,0,0.8925441314469286,0.01799957065244018,0.8925441314469286,0.46927374300365154,0.40740740739734793,0.4361576537342664,0.6638162341669428,0.392913818359375,0.4688873291015625,0.8059410372831086,0.8495202201778163,0.8495202201778163,1,1,0.8059410372831086,0.8495202201778163,0.8495202201778163,1,1
rwtd_325,0.33911050864951614,0.023301686391810097,0.33911050864951614,0,0.5064712829287059,0.04554216357049598,0.5064712829287059,0.08807134893993232,0.08730158730059749,0.08768477376910216,0.1379428435809172,0.176727294921875,0.4563751220703125,0.4563751220702429,0.6278871140670141,0.6278871140670141,1,1,0.4563751220702429,0.6278871140670141,0.6278871140670141,1,1
rwtd_327,0.5570534646175643,0.4406378757820173,0.5570534646175643,0,0.7155225909399135,0.6117260738307705,0.7155225909399135,0.3461538461348267,0.07134220072465124,0.11830232533608281,0.0025472074935948886,0.99481201171875,0.5543060302734375,0.5570534646175643,0.4456939697264945,0.5570534646175643,0,1,0.5570534646175643,0.4456939697264945,0.5570534646175643,0,1
rwtd_328,0.5884999770427175,0.22939346811815023,0.5884999770427175,0,0.7409505641143509,0.3731815306767263,0.7409505641143509,0.1873792659356898,0.6225961538311876,0.2880620966807564,-0.09198497807020818,0.7622833251953125,0.821441650390625,0.8214416503904997,0.22939346811815023,0.8214416503904997,0,2,0.8214416503904997,0.22939346811815023,0.8214416503904997,0,2
rwtd_329,0.6242823836143738,0.1428159603872848,0.6242823836143738,0,0.7686870089980448,0.24993693707057857,0.7686870089980448,0.19616858237397575,0.2204502814238232,0.20760182464438254,0.29443956785035924,0.50848388671875,0.4801483154296875,0.6242823836143738,0.6311709405914675,0.6311709405914675,1,1,0.6242823836143738,0.6311709405914675,0.6311709405914675,1,1
rwtd_33,0.28933210864706427,0.313760147659146,0.313760147659146,1,0.4488092814979522,0.47765210144059084,0.47765210144059084,0.08223567105702302,0.36666666665902775,0.1343413753140805,0.10898877916125507,0.4406585693359375,0.1590728759765625,0.28933210864706427,0.8409271240233093,0.8409271240233093,1,2,0.28933210864706427,0.8409271240233093,0.8409271240233093,1,2
rwtd_330,0.20624064106187776,0.000978941872606818,0.20624064106187776,0,0.34195604764289816,0.0019559689652919924,0.34195604764289816,0.5495049504678463,0.13293413173493493,0.2140790711115534,0.12303715828704134,0.0784454345703125,0.3763427734375,0.3763427734374426,0.6754963600263608,0.6754963600263608,1,1,0.3763427734374426,0.6754963600263608,0.6754963600263608,1,1
rwtd_331,0.5164064308222771,0.2020046581267256,0.5164064308222771,0,0.6810923777766542,0.3361129372685485,0.6810923777766542,0.054263565891090465,0.07527975584867468,0.06306689718257154,0.02364032129962335,0.5908050537109375,0.7088165283203125,0.7088165283202044,0.2911834716796431,0.7088165283202044,0,2,0.7088165283202044,0.2911834716796431,0.7088165283202044,0,2
rwtd_332,0.09063205665049644,0.15091942258138885,0.15091942258138885,1,0.16620097694329986,0.2622588855836541,0.2622588855836541,0.09926470588174471,0.14461118690116492,0.11772206086086588,0.03416802096569393,0.128326416015625,0.6307525634765625,0.6307525634764662,0.36924743652338116,0.6307525634764662,0,2,0.6307525634764662,0.36924743652338116,0.6307525634764662,0,2
rwtd_334,0.21848200689259498,0.028429117156660175,0.21848200689259498,0,0.35861343155944264,0.05528648826135789,0.35861343155944264,0.1384083044958753,0.07831325301110466,0.10002884986031119,0.1207322418235953,0.1037445068359375,0.3602142333984375,0.36021423339838254,0.6754210771585322,0.6754210771585322,1,1,0.36021423339838254,0.6754210771585322,0.6754210771585322,1,1
rwtd_337,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80438232421875,0.8043823242186273,0.19561767578122016,0.8043823242186273,0,1,0.8043823242186273,0.19561767578122016,0.8043823242186273,0,1
rwtd_34,0.47581781947189233,0.027495559502659417,0.47581781947189233,0,0.6448191818718646,0.05351956852439955,0.6448191818718646,0.06784660766861583,0.06677018633436692,0.067304088367568,0.40535976054543643,0.1729888916015625,0.2902984619140625,0.47581781947189233,0.8065546128041319,0.8065546128041319,1,1,0.47581781947189233,0.8065546128041319,0.8065546128041319,1,1
rwtd_342,0.9192775143173135,0.0397655601021383,0.9192775143173135,0,0.9579412122110963,0.07648947345059602,0.9579412122110963,0.24955595026421357,0.32487922704921646,0.2822791709768052,0.8188635978135492,0.5807342529296875,0.54937744140625,0.9192775143173135,0.8963808129861964,0.9192775143173135,0,1,0.9192775143173135,0.8963808129861964,0.9192775143173135,0,1
