image_id,v11_iou,v11_ari,v9_iou,v9_ari,delta_iou_vs_v9,delta_ari_vs_v9,proposal_count_dense,source,switched,v9_cov_union,best_cov_union,best_prec_union,best_area_u
260,0.5128465023412226,0.0004017991156558262,0.5128465023412226,0.0004017991156558262,0.0,0.0,43,v9_keep,0,0.9918735821498493,0.9918735821498493,0.9834386073024187,1.0085770222816122
261,0.9342133276526357,0.8899572343049914,0.9342133276526357,0.8899572343049914,0.0,0.0,77,v9_keep,0,0.4017486846177654,0.5622098421541318,1.0,0.5622098421541318
262,0.4199320190335284,0.11810436681312823,0.4199320190335284,0.11810436681312823,0.0,0.0,119,v9_keep,0,0.23943819328066396,0.23943819328066396,0.9714433724017354,0.2464767376905275
263,0.8117457381966195,0.573999207363395,0.8117457381966195,0.573999207363395,0.0,0.0,150,v9_keep,0,0.6960530735639906,0.6960530735639906,0.9879141835518475,0.7045683574067854
265,0.67385999694854,0.22665527967242366,0.67385999694854,0.22665527967242366,0.0,0.0,48,v9_keep,0,0.5424368573115039,0.5424368573115039,0.9879201086341519,0.5490695579235142
268,0.9714667994244462,0.9448130152480351,0.9714667994244462,0.9448130152480351,0.0,0.0,41,v9_keep,0,0.4818190272482098,0.5050993521187885,1.0,0.5050993521187885
269,0.8005996137080902,0.6223430685236865,0.8005996137080902,0.6223430685236865,0.0,0.0,137,v9_keep,0,0.42726794717144534,0.46636355200890783,1.0,0.46636355200890783
27,0.906100379722197,0.8649609971857959,0.906100379722197,0.8649609971857959,0.0,0.0,66,v9_keep,0,0.35049823310305306,0.35049823310305306,0.9998183717023112,0.3505619050651046
270,0.3657166669679747,-0.06917264029045958,0.3657166669679747,-0.06917264029045958,0.0,0.0,38,v9_keep,0,0.38098493912977416,0.17890718477579626,1.0,0.17890718477579626
274,0.9382105954282123,0.893802270874048,0.9382105954282123,0.893802270874048,0.0,0.0,38,v9_keep,0,0.4292168193863542,0.4292168193863542,0.9902401296405421,0.43344720794355224
276,0.6623992919911768,-0.00816996637595827,0.6623992919911768,-0.00816996637595827,0.0,0.0,46,v9_keep,0,0.994314661048457,0.994314661048457,0.9876134789967688,1.006785227413558
28,0.5138341129337068,0.2649160514530143,0.5138341129337068,0.2649160514530143,0.0,0.0,39,v9_keep,0,0.2656454235342876,0.2656454235342876,0.9899019899019899,0.2683552778397679
280,0.9495589072248521,0.9152642985864917,0.9495589072248521,0.9152642985864917,0.0,0.0,33,v9_keep,0,0.4266103996895615,0.4266103996895615,0.9852501867064973,0.43299702496442893
281,0.9597100692145758,0.9260960020327894,0.9597100692145758,0.9260960020327894,0.0,0.0,44,v9_keep,0,0.4730451285020425,0.4730451285020425,0.9851291154503131,0.4801859178487568
282,0.9706463631914121,0.9454644202762301,0.9706463631914121,0.9454644202762301,0.0,0.0,37,v9_keep,0,0.4757484887429197,0.4757484887429197,0.9996332844379251,0.47592301711964713
288,0.9837453229406627,0.9827559444705293,0.9837453229406627,0.9827559444705293,0.0,0.0,42,v9_keep,0,0.28145765214639806,0.28145765214639806,0.9945338219765203,0.28300460570263336
293,0.9858045798260718,0.9888645257101757,0.9858045798260718,0.9888645257101757,0.0,0.0,71,v9_keep,0,0.1526293969448608,0.1526293969448608,0.9998955395382848,0.15264534234780114
294,0.9875930521057296,0.9784430017213144,0.9875930521057296,0.9784430017213144,0.0,0.0,106,v9_keep,0,0.4384410705900767,0.4384410705900767,0.9906284259292004,0.4425888245421819
299,0.8227674190359658,0.6513987881358431,0.8227674190359658,0.6513987881358431,0.0,0.0,134,v9_keep,0,0.5746057213081177,0.5746057213081177,0.9786906215477644,0.5871168157301837
3,0.4382760389934566,-0.001573356351876662,0.4382760389934566,-0.001573356351876662,0.0,0.0,60,v9_keep,0,0.35880255610865186,0.35880255610865186,0.9748689629352303,0.3680520867423394
30,0.9618204133049331,0.9309751106715561,0.9618204133049331,0.9309751106715561,0.0,0.0,28,v9_keep,0,0.4875326012924232,0.4875326012924232,0.9987068672156809,0.4881638619864777
300,0.9957343707309727,0.9923840224967222,0.9957343707309727,0.9923840224967222,0.0,0.0,37,v9_keep,0,0.44866695668386053,0.44866695668386053,0.9890064728244118,0.45365421664284383
302,0.9860800650240937,0.9750684634235883,0.9860800650240937,0.9750684634235883,0.0,0.0,44,v9_keep,0,0.4526520454191943,0.4526520454191943,0.9991416603721761,0.4530409083838855
