image_id,selected_source,selected_run_idx,predicted_iou,actual_iou,actual_ari
rwtd_281,rwtd_281_p02_m00.png,3,0.8678006529808044,0.9289578541548836,0.870618195817801
rwtd_282,rwtd_282_p02_m00.png,2,0.9379699230194092,0.9631044891112867,0.9310977344153352
rwtd_288,run2_union,2,0.6153336763381958,0.6775376884405087,0.36919527723139867
rwtd_293,rwtd_293_p01_m00.png,2,0.8423935770988464,0.9273353929658243,0.7186872059076399
rwtd_294,rwtd_294_p01_m00.png,1,0.8917444348335266,0.8997215990461396,0.7863741179042679
rwtd_299,rwtd_299_p01_m04.png,3,0.8873480558395386,0.908398941553989,0.8361611626953621
rwtd_300,rwtd_300_p01_m00.png,2,0.9692486524581909,0.9884252879871344,0.9745265080773372
rwtd_302,run2_union,2,0.9532944560050964,0.9791941094978241,0.9627505413954726
rwtd_303,rwtd_303_p02_m00.png,1,0.9489336609840393,0.9885082023197688,0.9835326720143854
rwtd_304,rwtd_304_p01_m00.png,2,0.7855551838874817,0.7826417117041915,0.7186350281453093
rwtd_308,rwtd_308_p02_m00.png,0,0.9019888639450073,0.8947368420982866,0.9043361307621484
rwtd_310,rwtd_310_p01_m00.png,1,0.9261044859886169,0.9797645079882594,0.8796646608531447
rwtd_311,run3_union,3,0.7963449954986572,0.8981370653394437,0.07487731879274603
rwtd_315,rwtd_315_p02_m00.png,0,0.8955751657485962,0.9524246723963735,0.7328020178234878
rwtd_318,run2_union,2,0.7774478197097778,0.9052553663891713,0.9061688911040175
rwtd_319,rwtd_319_p03_m01.png,3,0.9098491072654724,0.973908853087657,0.9542587731225295
rwtd_321,rwtd_321_p02_m00.png,2,0.9491837620735168,0.9548800695380575,0.9011805060350435
rwtd_322,run0_union,0,0.8565234541893005,0.8606928811545801,0.7803916745741722
rwtd_323,rwtd_323_p01_m00.png,1,0.9035298228263855,0.9091219784971443,0.8294354437076396
rwtd_324,run0_union,0,0.9350592494010925,0.9478553164566097,0.8922875208786769
rwtd_325,run1_union,1,0.9318161606788635,0.9404229134008155,0.8742176768723197
rwtd_327,rwtd_327_p03_m00.png,0,0.948692798614502,0.9540123773345847,0.9195707171511855
rwtd_328,rwtd_328_p02_m00.png,0,0.9226247668266296,0.9638020611450149,0.9687048444600445
rwtd_329,rwtd_329_p01_m00.png,1,0.8330621123313904,0.9026330532187601,0.7990911666836533
rwtd_330,rwtd_330_p01_m00.png,2,0.9305898547172546,0.9625180436939728,0.9084533458335187
rwtd_331,rwtd_331_p02_m00.png,0,0.8293712139129639,0.8995475573133062,0.8789024602173976
rwtd_332,run3_union,3,0.8531439304351807,0.9039973652756,0.8617174813447016
rwtd_334,run0_union,0,0.8600817918777466,0.85814114335935,0.6696590353555623
rwtd_337,run1_union,1,0.9534713625907898,0.9724127302075023,0.9747911444693848
rwtd_342,run2_union,2,0.9528051614761353,0.9669887822646067,0.9412478479682946
rwtd_343,run0_union,0,0.8833559155464172,0.9041340212694813,0.9016786290464129
rwtd_344,rwtd_344_p02_m00.png,2,0.8610612750053406,0.9403870681476161,0.9322709000616254
rwtd_345,rwtd_345_p01_m08.png,3,0.5567399263381958,0.6045667335406297,0.5357565758941281
rwtd_346,rwtd_346_p01_m00.png,2,0.9184936881065369,0.9100435205099503,0.8731086256363088
rwtd_347,rwtd_347_p01_m00.png,2,0.9400712251663208,0.9565662100421678,0.928666632080569
rwtd_348,rwtd_348_p02_m00.png,2,0.8492246270179749,0.9010440053833574,0.8892817433737501
rwtd_349,rwtd_349_p02_m00.png,0,0.8985211849212646,0.9507106138446189,0.9395009081497506
